City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Aykhal,RU,66.0,111.5,9.21,95,100,12.55,overcast clouds
81,Quelimane,MZ,-17.8786,36.8883,69.06,88,5,3.4,clear sky
82,Sur,OM,22.5667,59.5289,89.56,39,0,8.66,clear sky
83,Sabha,LY,27.0377,14.4283,77.41,13,0,9.84,clear sky
84,Clyde River,CA,70.4692,-68.5914,25.03,86,100,14.97,overcast clouds
85,Meulaboh,ID,4.1363,96.1285,77.85,88,100,4.09,light rain
86,Sola,VU,-13.8833,167.55,79.97,76,59,23.91,broken clouds
87,Swan River,CA,52.1058,-101.2676,59.81,41,100,12.53,overcast clouds
88,Saint-Francois,FR,46.4154,3.9054,67.44,49,0,4.61,clear sky
89,Khandyga,RU,62.6667,135.6,38.7,95,100,8.03,overcast clouds
90,Bethel,US,41.3712,-73.414,60.35,46,20,18.41,few clouds
91,Sorland,NO,67.667,12.6934,39.06,98,100,12.91,light rain
92,Mariselu,RO,47.0167,24.5167,53.85,88,100,4.12,overcast clouds
93,Vila Velha,BR,-20.3297,-40.2925,76.95,78,75,16.11,broken clouds
94,Hilo,US,19.7297,-155.09,89.28,80,100,3.44,light rain
95,Altamira,BR,-3.2033,-52.2064,81.97,77,100,2.01,overcast clouds
96,Saint George,US,37.1041,-113.5841,81.79,12,0,21.85,clear sky
97,Namibe,AO,-15.1961,12.1522,73.56,67,0,11.21,clear sky
98,Thompson,CA,55.7435,-97.8558,54.48,73,33,15.75,scattered clouds
99,Nagato,JP,34.3833,131.2,59.2,73,66,11.88,broken clouds
100,Ligayan,PH,4.6533,119.4706,82.78,77,100,3.62,overcast clouds
101,Inuvik,CA,68.3499,-133.7218,38.5,83,17,12.97,few clouds
102,Port Lincoln,AU,-34.7333,135.8667,59.74,72,100,10.8,overcast clouds
103,Batagay-Alyta,RU,67.8006,130.4114,23.88,95,100,3.09,light snow
104,Asau,RO,46.4333,26.4,54.52,69,100,2.26,overcast clouds
105,Dikson,RU,73.5069,80.5464,22.05,93,100,29.15,light snow
106,Qaanaaq,GL,77.484,-69.3632,26.02,70,100,1.68,overcast clouds
107,De-Kastri,RU,51.4667,140.7833,33.35,96,100,11.97,light snow
108,Xiongzhou,CN,25.1167,114.3,69.17,97,100,1.88,overcast clouds
109,Caravelas,BR,-17.7125,-39.2481,74.71,86,100,9.46,overcast clouds
110,Almeirim,BR,-1.5233,-52.5817,80.06,90,99,2.8,light rain
111,Norman Wells,CA,65.282,-126.8329,41.58,60,100,1.81,overcast clouds
112,San Sebastian,ES,43.3128,-1.975,64.24,72,0,3.44,clear sky
113,Coolum Beach,AU,-26.5333,153.1,68.11,98,100,16.24,moderate rain
114,Ponta Do Sol,PT,32.6667,-17.1,67.71,73,72,4.68,broken clouds
115,Omboue,GA,-1.5746,9.2618,78.15,91,58,6.11,light rain
116,Berlevag,NO,70.8578,29.0864,32.0,73,67,12.03,broken clouds
117,Kutum,SD,14.2,24.6667,82.83,6,7,8.39,clear sky
118,Baishishan,CN,43.5833,127.5667,39.7,45,0,3.09,clear sky
119,Mahebourg,MU,-20.4081,57.7,75.49,83,40,4.61,scattered clouds
120,Pangnirtung,CA,66.1451,-65.7125,27.34,85,47,4.03,scattered clouds
